# Formato: ID | LARGURA,ALTURA | COLISAO_W,COLISAO_H

CADEIRA_ESQUERDA_01 | 32,64 | 32,20
MESA_L_RECEPCAO_01 | 112,101 | 112,77
BANCO_P_01 | 32,32 | 32,21
MESA_CENTRO_01 | 80,56 | 80,40
PLANTA_VASO_01 | 32,56 | 20,12
PLANTA_VASO_02 | 22,52 | 22,21
ESTANTE_01 | 60,60 | 60,22
SOFA_COSTA_03 | 80,48 | 80,32
BEBEDOURO_01 | 26,60 | 26,30
LIXEIRA_01 | 24,30 | 24,18
NPC_01 | 38,46 | 25,8 
DIALOGO_01 | 320,100 | 320,100
PAREDE_SUPERIOR | 448,66 | 448,66
PAREDE_ESQUERDA | 16,320 | 16,320
PAREDE_DIREITA_SUPERIOR | 17,150 | 17,150
PAREDE_DIREITA_INFERIOR | 17,132 | 17,110

# Escritório

CADEIRA_COSTA_01 | 32,48 | 32,20
CADEIRA_ESQUERDA_02 | 32,48 | 32,16
CAFETEIRA_01 | 48,60 | 48,40
IMPRESSORA_01| 48,53 | 48,32 
MESA_L_ESCRITORIO_01 | 208,80 | 208,60
MESA_L_ESCRITORIO_02 | 32,73 | 32,40
SERVIDOR_01 | 32,96 | 32,66
PLANTA_VASO_03 | 32,36 | 32,12
PAREDE_SUPERIOR_01 | 432,66 | 432,66
PAREDE_ESQUERDA_SUPERIOR | 32,75 | 32,75
PAREDE_ESQUERDA_INFERIOR | 32,128 | 32,100
PAREDE_DIREITA | 17,320 | 17,320
PAREDE_REC_01 | 12,48 | 12,48
PAREDE_REC_02 | 12,96 | 12,96
PAREDE_REC_03 | 12,21 | 12,9
PAREDE_REC_04 | 12,32 | 12,11
PAREDE_REC_05 | 32,32 | 32,11
PAREDE_REC_06 | 16,32 | 16,11
PAREDE_REC_07 | 32,54 | 32,14
NPC_02 | 32,46 | 25,8 
NPC_03 | 32,46 | 25,8 
CHAO | 480,320 | 0,0

# Tarefa verde atualizar credencial
CREDENCIAL_GERAL | 480,320 | 0,0
CREDENCIAL_OPCOES | 308,115 | 0,0

# Tarefa amarela trocar hd
HD_01 | 64,82 | 0,0
HD_02 | 64,82 | 0,0
SELETORES | 64,82 | 0,0
FUNDO_TELA | 480,320 | 0,0

# Tarefa vermelha DDOS
SERVIDOR_FUNDO | 480,320 | 0,0
DDOS_MUDANCAS | 480,320 | 0,0
SERVIDOR_OK | 98,194 | 0,0
LED_VERMELHO | 98,194 | 0,0
ENVELOPE | 48,32 | 0,0
ENVELOPE_FOGO | 96,32 | 00
FOGO | 32,64 | 0,0

# Tela de Vitoria
TELA_VITORIA | 480,320 | 0,0
# Tela de Derrota
TELA_DERROTA | 480,320 | 0,0


