#Formato: ID | LARGURA,ALTURA | COLISAO_W,COLISAO_H

CADEIRA_ESQUERDA_01 | 32,64 | 32,20
MESA_L_RECEPCAO_01 | 112,101 | 112,S77
BANCO_P_01 | 32,32 | 32,21
MESA_CENTRO_01 | 80,56 | 80,40
PLANTA_VASO_01 | 32,56 | 20,12
PLANTA_VASO_02 | 22,51 | 22,21
SOFA_COSTA_03 | 80,48 | 80,32
PAREDE_REC_01 | 17,39 | 17,17
PAREDE_REC_02 | 13,39 | 13,7
BEBEDOURO_01 | 26,60 | 26,30
LIXEIRA_01 | 24,30 | 24,18
NPC_01 | 38,46 | 25,8 
DIALOGO_01 | 320,100 | 320,30
CADEIRA_COSTA_01 | 32,48 | 32,20
CADEIRA_ESQUERDA_02 | 32,48 | 32,16
CAFETEIRA_01 | 48,60 | 48,40
IMPRESSORA_01| 48,53 | 48,32 
MESA_L_ESCRITORIO_01 | 208,80 | 208,60
MESA_L_ESCRITORIO_02 | 32,73 | 32,40
SERVIDOR_01 | 32,96 | 32,66
PLANTA_VASO_03 | 32,36 | 32,12
PAREDE_REC_03 | 12,21 | 12,9
PAREDE_REC_04 | 12,32 | 12,12
PAREDE_REC_05 | 32,32 | 32,20
PAREDE_REC_06 | 16,32 | 16,20
PAREDE_REC_07 | 32,54 | 32,14
NPC_02 | 38,46 | 25,8 
NPC_03 | 38,46 | 25,8
PROTAGONISTA | 32,48 | 32,16
